s	r	d	f	mean	sd
0.01	0.0001	1	0.1	2.6152	0.148348778222134
0.01	0.0001	1	0.15	2.7508	0.500830669987372
0.01	0.0001	1	0.2	2.816	0.192370475905218
0.01	0.0001	1	0.25	3.1244	0.629397680326199
0.01	0.0001	1	0.3	3.34	1.63409669236554
0.01	0.0001	1	0.35	5.35	1.66305598222068
0.01	0.0001	1	0.4	3.2528	0.769110239172513
0.01	0.0001	1	0.45	5.18779585062241	1.56959610548151
0.01	0.0001	1	0.5	5.248	2.22882988733251
0.01	0.0001	1	0.55	6.7308	2.71334143815333
0.01	0.0001	1	0.6	5.1125	1.35221697593249
0.01	0.0001	1	0.65	6.2856	1.29276101426366
0.01	0.0001	1	0.7	6.7404	1.00449899950174
0.01	0.0001	1	0.75	6.5012	1.51148065154669
0.01	0.0001	1	0.8	9.1236	0.589968677134643
0.01	0.0001	1	0.85	7.05	1.40304183829279
0.01	0.0001	1	0.9	7.794	0.772424753616817
0.01	0.0001	1	0.95	8.4232	0.226067600509229
0.01	0.0001	1	1	7.9264	1.31298706772001
0.01	0.0001	1	1.05	8.5188	1.18284917043552
0.01	0.0001	1	1.1	7.354	2.35377450066908
0.01	0.0001	1	1.15	8.8936	1.09117214040682
0.01	0.0001	1	1.2	7.5424	0.696956124874443
0.01	0.0001	1	1.25	7.9436	0.440277003714707
0.01	0.0001	1	1.3	7.8472	0.862937865665889
0.01	0.0001	1	1.35	8.5708	1.58793682493983
0.01	0.0001	1	1.4	8.7152	1.17542339605778
0.01	0.0001	1	1.45	8.1116	1.18662573712186
0.01	0.0001	1	1.5	7.8184	1.13972515985215
0.01	0.0001	2	0.1	2.5608	0.228100328802919
0.01	0.0001	2	0.15	2.3944	0.33796899266057
0.01	0.0001	2	0.2	3.0872	0.695842051043195
0.01	0.0001	2	0.25	3.5548	1.83661889351057
0.01	0.0001	2	0.3	2.7863793814433	0.420807586915511
0.01	0.0001	2	0.35	6.316	2.60428078363298
0.01	0.0001	2	0.4	9.46	3.72141843925136
0.01	0.0001	2	0.45	8.74	3.88004701002449
0.01	0.0001	2	0.5	10.0728	1.30134982229991
0.01	0.0001	2	0.55	9.8484	2.26672465023875
0.01	0.0001	2	0.6	8.9552	0.428746265289856
0.01	0.0001	2	0.65	11.1428	1.17477596161992
0.01	0.0001	2	0.7	10.046	1.14309824599638
0.01	0.0001	2	0.75	10.918	1.05621437218019
0.01	0.0001	2	0.8	10.6584	1.29008861711124
0.01	0.0001	2	0.85	9.4676	1.05470557028964
0.01	0.0001	2	0.9	9.0528	1.87255316613441
0.01	0.0001	2	0.95	9.6612	0.710835677213798
0.01	0.0001	2	1	9.632	1.05891642729726
0.01	0.0001	2	1.05	4.486	1.40164760193138
0.01	0.0001	2	1.1	6.2644	2.60799981595091
0.01	0.0001	2	1.15	5.0724	1.83859485477361
0.01	0.0001	2	1.2	4.3368	1.59570152597533
0.01	0.0001	2	1.25	6.1232	2.97915870003597
0.01	0.0001	2	1.3	4.3128	1.32182455719358
0.01	0.0001	2	1.35	4.1292	1.5519467001157
0.01	0.0001	2	1.4	5.1848	1.48767340501872
0.01	0.0001	2	1.45	5.1112	1.41315850491019
0.01	0.0001	2	1.5	4.1056	0.886623618002589
0.01	0.0001	3	0.1	2.4868967032967	0.422994763742253
0.01	0.0001	3	0.15	3.04175757575758	0.730605787614795
0.01	0.0001	3	0.2	3.612	0.70782257663909
0.01	0.0001	3	0.25	6.102	2.73209750924084
0.01	0.0001	3	0.3	5.9	3.08947840257866
0.01	0.0001	3	0.35	10.1576	2.13162000365919
0.01	0.0001	3	0.4	11.4908	1.08709859718427
0.01	0.0001	3	0.45	11.252	3.73101423208221
0.01	0.0001	3	0.5	11.4128	1.2644066434498
0.01	0.0001	3	0.55	12.5816	0.582935193653635
0.01	0.0001	3	0.6	11.4512	1.32793048010805
0.01	0.0001	3	0.65	11.7688	1.89365703336164
0.01	0.0001	3	0.7	6.824	1.4703800869163
0.01	0.0001	3	0.75	7.6292	2.55453153435224
0.01	0.0001	3	0.8	5.7448	1.94988311444558
0.01	0.0001	3	0.85	5.1936	1.34803287793733
0.01	0.0001	3	0.9	8.8784	2.77467934003193
0.01	0.0001	3	0.95	6.3148	2.02781127326978
0.01	0.0001	3	1	5.6832	1.3431060121971
0.01	0.0001	3	1.05	6.238	1.18126237559655
0.01	0.0001	3	1.1	6.4904	2.85937179114574
0.01	0.0001	3	1.15	3.8916	1.15580510467812
0.01	0.0001	3	1.2	5.0988	1.31449129323857
0.01	0.0001	3	1.25	5.8644	1.71589715309514
0.01	0.0001	3	1.3	6.296	2.02094275030244
0.01	0.0001	3	1.35	6.2656	2.21795199226674
0.01	0.0001	3	1.4	4.2536	0.763512305074385
0.01	0.0001	3	1.45	4.8332	1.68893367542956
0.01	0.0001	3	1.5	4.8464	2.14221545134937
0.01	0.0001	4	0.1	3.3796	0.453006666617612
0.01	0.0001	4	0.15	4.404	1.10274203692432
0.01	0.0001	4	0.2	4.5784	1.80551749922287
0.01	0.0001	4	0.25	7.2556	3.45261857725408
0.01	0.0001	4	0.3	11.0032	3.96546887013377
0.01	0.0001	4	0.35	11.7928	2.47757933475398
0.01	0.0001	4	0.4	13.9256	1.53075531682892
0.01	0.0001	4	0.45	12.8485	1.17620183216997
0.01	0.0001	4	0.5	11.3956	0.644507129518363
0.01	0.0001	4	0.55	8.6072	1.203733259489
0.01	0.0001	4	0.6	9.492	3.63566489104813
0.01	0.0001	4	0.65	7.6772	2.0558753269593
0.01	0.0001	4	0.7	7.4956	1.33484644809806
0.01	0.0001	4	0.75	7.8892	2.15176600958376
0.01	0.0001	4	0.8	7.4372	2.38415657203968
0.01	0.0001	4	0.85	7.2916	1.50404010584825
0.01	0.0001	4	0.9	10.2716	2.03242885238328
0.01	0.0001	4	0.95	6.6428	1.82761860353849
0.01	0.0001	4	1	7.4356	0.77799784061397
0.01	0.0001	4	1.05	6.5712	1.64279790601279
0.01	0.0001	4	1.1	6.2856	1.45808060133862
0.01	0.0001	4	1.15	5.9204	1.43620967828517
0.01	0.0001	4	1.2	5.2008	1.23240357026422
0.01	0.0001	4	1.25	4.484	1.94714108374303
0.01	0.0001	4	1.3	5.9192	1.12563127177598
0.01	0.0001	4	1.35	5.4832	1.63121726327304
0.01	0.0001	4	1.4	5.7324	0.994522920801728
0.01	0.0001	4	1.45	4.8704	1.16297714508927
0.01	0.0001	4	1.5	4.4896	1.03910607735688
0.01	0.0001	5	0.1	3.1332	0.951708863045837
0.01	0.0001	5	0.15	3.3216	0.942620517493652
0.01	0.0001	5	0.2	4.27	1.37870373902445
0.01	0.0001	5	0.25	12.9484	4.14929611380051
0.01	0.0001	5	0.3	14.5484	0.831232723128728
0.01	0.0001	5	0.35	15.4184	0.352169050315328
0.01	0.0001	5	0.4	14.4432	1.55697018597018
0.01	0.0001	5	0.45	11.8116	3.0604779757417
0.01	0.0001	5	0.5	10.1156	2.6609028242309
0.01	0.0001	5	0.55	8.8288	1.23429954225058
0.01	0.0001	5	0.6	8.5108	1.5098469326392
0.01	0.0001	5	0.65	9.3788	1.98770484730505
0.01	0.0001	5	0.7	7.9344	2.43850131023135
0.01	0.0001	5	0.75	9.5844	2.53587267819187
0.01	0.0001	5	0.8	9.8996	1.815653887722
0.01	0.0001	5	0.85	6.8724	1.12361658941117
0.01	0.0001	5	0.9	7.3376	1.08204872348707
0.01	0.0001	5	0.95	6.264	0.967564364784069
0.01	0.0001	5	1	7.4516	1.61605663267102
0.01	0.0001	5	1.05	6.4156	1.34177816348307
0.01	0.0001	5	1.1	6.446	1.75043251797949
0.01	0.0001	5	1.15	5.0608	1.52512011330256
0.01	0.0001	5	1.2	4.6732	0.738510500940914
0.01	0.0001	5	1.25	5.4148	1.23859184560532
0.01	0.0001	5	1.3	5.6768	1.50209538978056
0.01	0.0001	5	1.35	4.886	1.16069841044089
0.01	0.0001	5	1.4	4.8868	2.21309000268855
0.01	0.0001	5	1.45	4.8564	1.7220176073432
0.01	0.0001	5	1.5	4.0788	0.89232603906868
0.01	0.0001	6	0.1	2.9752	0.547735118465121
0.01	0.0001	6	0.15	5.1552	1.9596295976536
