s	r	d	f	mean	sd
0.01	0.0001	1	0.1	0	0
0.01	0.0001	1	0.15	0	0
0.01	0.0001	1	0.2	0	0
0.01	0.0001	1	0.25	0	0
0.01	0.0001	1	0.3	0	0
0.01	0.0001	1	0.35	0.4	0.8
0.01	0.0001	1	0.4	0	0
0.01	0.0001	1	0.45	0.4	0.489897948556636
0.01	0.0001	1	0.5	0.333333333333333	0.471404520791032
0.01	0.0001	1	0.55	1.4	1.35646599662505
0.01	0.0001	1	0.6	0	0
0.01	0.0001	1	0.65	0.6	0.489897948556636
0.01	0.0001	1	0.7	1.2	1.16619037896906
0.01	0.0001	1	0.75	1.2	0.748331477354788
0.01	0.0001	1	0.8	2.2	1.16619037896906
0.01	0.0001	1	0.85	1.4	1.01980390271856
0.01	0.0001	1	0.9	1.4	0.489897948556636
0.01	0.0001	1	0.95	1	0.632455532033676
0.01	0.0001	1	1	2	1.09544511501033
0.01	0.0001	1	1.05	2.6	1.49666295470958
0.01	0.0001	1	1.1	1.8	1.16619037896906
0.01	0.0001	1	1.15	2.2	1.46969384566991
0.01	0.0001	1	1.2	1.2	0.4
0.01	0.0001	1	1.25	2	1.26491106406735
0.01	0.0001	1	1.3	2.4	0.8
0.01	0.0001	1	1.35	2.6	1.49666295470958
0.01	0.0001	1	1.4	2.6	1.62480768092719
0.01	0.0001	1	1.45	2.8	1.16619037896906
0.01	0.0001	1	1.5	2	1.09544511501033
0.01	0.0001	2	0.1	0	0
0.01	0.0001	2	0.15	0	0
0.01	0.0001	2	0.2	0	0
0.01	0.0001	2	0.25	0	0
0.01	0.0001	2	0.3	0	0
0.01	0.0001	2	0.35	1.6	2.0591260281974
0.01	0.0001	2	0.4	4.4	3.00665927567458
0.01	0.0001	2	0.45	1.4	1.2
0.01	0.0001	2	0.5	3.2	0.979795897113271
0.01	0.0001	2	0.55	2.6	1.95959179422654
0.01	0.0001	2	0.6	2.4	0.489897948556636
0.01	0.0001	2	0.65	4.6	1.95959179422654
0.01	0.0001	2	0.7	3.4	0.8
0.01	0.0001	2	0.75	5.6	1.35646599662505
0.01	0.0001	2	0.8	5	1.26491106406735
0.01	0.0001	2	0.85	3.4	1.35646599662505
0.01	0.0001	2	0.9	3.2	1.6
0.01	0.0001	2	0.95	4	1.78885438199983
0.01	0.0001	2	1	4.8	1.46969384566991
0.01	0.0001	2	1.05	3.8	1.32664991614216
0.01	0.0001	2	1.1	6	2.60768096208106
0.01	0.0001	2	1.15	4.8	1.93907194296653
0.01	0.0001	2	1.2	4.2	1.6
0.01	0.0001	2	1.25	6	2.96647939483827
0.01	0.0001	2	1.3	4.2	1.32664991614216
0.01	0.0001	2	1.35	4	1.54919333848297
0.01	0.0001	2	1.4	5	1.4142135623731
0.01	0.0001	2	1.45	5	1.4142135623731
0.01	0.0001	2	1.5	4	0.894427190999916
0.01	0.0001	3	0.1	0	0
0.01	0.0001	3	0.15	0	0
0.01	0.0001	3	0.2	0	0
0.01	0.0001	3	0.25	0.8	1.6
0.01	0.0001	3	0.3	0.6	0.8
0.01	0.0001	3	0.35	3.6	2.0591260281974
0.01	0.0001	3	0.4	5.2	2.03960780543711
0.01	0.0001	3	0.45	4.6	2.65329983228432
0.01	0.0001	3	0.5	5	1.89736659610103
0.01	0.0001	3	0.55	5.6	1.01980390271856
0.01	0.0001	3	0.6	5.8	0.748331477354788
0.01	0.0001	3	0.65	5.2	2.03960780543711
0.01	0.0001	3	0.7	6.4	1.35646599662505
0.01	0.0001	3	0.75	7.4	2.57681974534503
0.01	0.0001	3	0.8	5.6	1.95959179422654
