s	r	d	f	mean	sd
0.01	0.0001	1	0.1	5000001	0
0.01	0.0001	1	0.15	5000001	0
0.01	0.0001	1	0.2	5000001	0
0.01	0.0001	1	0.25	5000001	0
0.01	0.0001	1	0.3	5000001	0
0.01	0.0001	1	0.35	5000001	0
0.01	0.0001	1	0.4	5000001	0
0.01	0.0001	1	0.45	5000001	0
0.01	0.0001	1	0.5	5000001	0
0.01	0.0001	1	0.55	5000001	0
0.01	0.0001	1	0.6	5000001	0
0.01	0.0001	1	0.65	4960558.2	78885.6
0.01	0.0001	1	0.7	4790347.6	419306.8
0.01	0.0001	1	0.75	4129867.2	949260.165430405
0.01	0.0001	1	0.8	3995696	906121.740552118
0.01	0.0001	1	0.85	4088718.6	827271.547568657
0.01	0.0001	1	0.9	4012600	1013632.57007103
0.01	0.0001	1	0.95	4297776.6	613050.510660451
0.01	0.0001	1	1	3262474	1070403.80683983
0.01	0.0001	1	1.05	3653286.2	971509.286721934
0.01	0.0001	1	1.1	3609857	778550.615738502
0.01	0.0001	1	1.15	2823484.2	1125187.85902487
0.01	0.0001	1	1.2	2710285.4	962837.24631624
0.01	0.0001	1	1.25	3096312.2	664345.029935018
0.01	0.0001	1	1.3	2752953.6	1280477.27955518
0.01	0.0001	1	1.35	3354291.4	1002781.35283333
0.01	0.0001	1	1.4	3091547.4	630850.127234861
0.01	0.0001	1	1.45	2284791.8	885198.744238693
0.01	0.0001	1	1.5	2293743	749786.36364874
0.01	0.0001	2	0.1	5000001	0
0.01	0.0001	2	0.15	5000001	0
0.01	0.0001	2	0.2	5000001	0
0.01	0.0001	2	0.25	5000001	0
0.01	0.0001	2	0.3	5000001	0
0.01	0.0001	2	0.35	5000001	0
0.01	0.0001	2	0.4	4948679.2	102643.6
0.01	0.0001	2	0.45	4844699.6	215894.635097401
0.01	0.0001	2	0.5	4613759	480935.921260203
0.01	0.0001	2	0.55	3616941.4	842309.15189771
0.01	0.0001	2	0.6	3365373.8	577836.714950997
0.01	0.0001	2	0.65	3712875	800356.420796885
0.01	0.0001	2	0.7	2652631	824326.650594532
0.01	0.0001	2	0.75	2987298.8	883084.436303438
0.01	0.0001	2	0.8	2503103.2	871213.007995037
0.01	0.0001	2	0.85	2850389.6	846897.312546592
0.01	0.0001	2	0.9	2559496	393990.951793566
0.01	0.0001	2	0.95	1741180.8	753770.272488747
0.01	0.0001	2	1	2501424.8	724067.85627133
0.01	0.0001	2	1.05	1470099	956047.018205904
0.01	0.0001	2	1.1	2289942.6	1176374.04028525
0.01	0.0001	2	1.15	1786359.8	913345.186897134
0.01	0.0001	2	1.2	1738456.4	483056.093092138
0.01	0.0001	2	1.25	1765293.6	1078481.39693267
0.01	0.0001	2	1.3	2038627.2	595802.249209383
0.01	0.0001	2	1.35	1804029.8	924533.868159604
0.01	0.0001	2	1.4	1898736	646225.912653772
0.01	0.0001	2	1.45	2274157.4	535885.696838272
0.01	0.0001	2	1.5	2031211.2	638885.308435059
0.01	0.0001	3	0.1	5000001	0
0.01	0.0001	3	0.15	5000001	0
0.01	0.0001	3	0.2	5000001	0
0.01	0.0001	3	0.25	5000001	0
0.01	0.0001	3	0.3	5000001	0
0.01	0.0001	3	0.35	4772222.8	262389.829777299
0.01	0.0001	3	0.4	4146646.2	564589.821021031
0.01	0.0001	3	0.45	3300777.8	1023288.71455898
0.01	0.0001	3	0.5	4024907.4	522235.964916473
0.01	0.0001	3	0.55	3201088.8	604052.666344715
0.01	0.0001	3	0.6	2422056.8	714870.583979898
0.01	0.0001	3	0.65	3269381.8	639467.829934048
0.01	0.0001	3	0.7	2646719.8	587593.598745732
0.01	0.0001	3	0.75	1815106.8	740498.705438274
0.01	0.0001	3	0.8	1947121.4	284756.693334222
0.01	0.0001	3	0.85	1501965.2	788615.699696474
0.01	0.0001	3	0.9	2031975.8	612217.920370647
0.01	0.0001	3	0.95	1905482.4	887168.55444647
0.01	0.0001	3	1	1613094.4	463553.923399037
0.01	0.0001	3	1.05	1829099.6	762836.450318573
0.01	0.0001	3	1.1	2315399.4	420084.567271686
0.01	0.0001	3	1.15	1207226.4	621544.485924733
0.01	0.0001	3	1.2	1378589.6	907543.882086503
0.01	0.0001	3	1.25	1589163.2	673501.805040016
0.01	0.0001	3	1.3	1612869	604977.693548448
0.01	0.0001	3	1.35	1851981.8	891711.615718311
0.01	0.0001	3	1.4	1105280.8	717398.145513466
0.01	0.0001	3	1.45	1127169.8	581144.307119807
0.01	0.0001	3	1.5	1169229.8	568418.410586568
0.01	0.0001	4	0.1	5000001	0
0.01	0.0001	4	0.15	5000001	0
0.01	0.0001	4	0.2	5000001	0
0.01	0.0001	4	0.25	4867780.2	264441.6
0.01	0.0001	4	0.3	4783617.8	267208.215112036
0.01	0.0001	4	0.35	3740686	943982.091976537
0.01	0.0001	4	0.4	3748604.8	635579.75089784
0.01	0.0001	4	0.45	2656402.25	280669.798910904
0.01	0.0001	4	0.5	2631256	478337.255916785
0.01	0.0001	4	0.55	2638049	625784.582470358
0.01	0.0001	4	0.6	2712681.6	419472.679452
0.01	0.0001	4	0.65	2349549.4	854019.200995528
0.01	0.0001	4	0.7	2018625.6	739393.913269672
0.01	0.0001	4	0.75	1603360	650347.784917578
0.01	0.0001	4	0.8	1632955.4	414674.121855994
0.01	0.0001	4	0.85	1947345.8	538976.33056022
0.01	0.0001	4	0.9	2016228.2	1026065.86962736
0.01	0.0001	4	0.95	1470709.6	673913.247593961
0.01	0.0001	4	1	2315331	599911.396437841
0.01	0.0001	4	1.05	1253323.4	502356.852514067
0.01	0.0001	4	1.1	1941803.6	376597.318058746
0.01	0.0001	4	1.15	1795593.4	635375.846576686
0.01	0.0001	4	1.2	1022146	321591.051968179
0.01	0.0001	4	1.25	1114017.8	252201.628717501
0.01	0.0001	4	1.3	1421584.4	832395.679082875
0.01	0.0001	4	1.35	745986.6	658657.021056209
0.01	0.0001	4	1.4	1171845.6	769020.751155546
0.01	0.0001	4	1.45	1809248.2	1055220.1665767
0.01	0.0001	4	1.5	1103379.6	519725.234780302
0.01	0.0001	5	0.1	5000001	0
0.01	0.0001	5	0.15	5000001	0
0.01	0.0001	5	0.2	5000001	0
0.01	0.0001	5	0.25	4814399.6	164326.406974168
0.01	0.0001	5	0.3	4283520.6	337739.11928564
0.01	0.0001	5	0.35	3691576.6	752268.172966423
0.01	0.0001	5	0.4	3148699.8	1083216.03694672
0.01	0.0001	5	0.45	3154657.8	502214.844138004
0.01	0.0001	5	0.5	1934978.2	432562.36987579
0.01	0.0001	5	0.55	2280106	615493.539918008
0.01	0.0001	5	0.6	2096957.6	556200.398900468
0.01	0.0001	5	0.65	1224315	607003.154834965
0.01	0.0001	5	0.7	1400558	210517.517581792
0.01	0.0001	5	0.75	2202191.6	878338.849153469
0.01	0.0001	5	0.8	1884776.2	647248.854055193
0.01	0.0001	5	0.85	868048.8	311265.285904098
0.01	0.0001	5	0.9	1453019.4	588749.714342725
0.01	0.0001	5	0.95	1336729.4	363529.837979003
0.01	0.0001	5	1	1159476.8	464008.602646718
0.01	0.0001	5	1.05	972326.2	467063.260581005
0.01	0.0001	5	1.1	1418782.25	743362.60334455
0.01	0.0001	5	1.15	917869.4	807891.446860431
0.01	0.0001	5	1.2	809733.2	560582.759599473
0.01	0.0001	5	1.25	1171539.6	412648.391246398
0.01	0.0001	5	1.3	831718	392309.550647445
0.01	0.0001	5	1.35	985284.2	746485.958156589
0.01	0.0001	5	1.4	1113829.6	797710.752750544
0.01	0.0001	5	1.45	670173.4	488436.841903884
0.01	0.0001	5	1.5	1230107.4	676939.210537135
0.01	0.0001	6	0.1	5000001	0
0.01	0.0001	6	0.15	5000001	0
0.01	0.0001	6	0.2	5000001	0
0.01	0.0001	6	0.25	4044025.6	539490.615827782
0.01	0.0001	6	0.3	3375671.8	303562.294444748
0.01	0.0001	6	0.35	3070613.6	747461.576046448
0.01	0.0001	6	0.4	2915421.2	829898.243048484
0.01	0.0001	6	0.45	1947406.8	654154.76514672
0.01	0.0001	6	0.5	2336429.4	391991.525538295
0.01	0.0001	6	0.55	1868293	351270.768614754
0.01	0.0001	6	0.6	1657263.2	687651.051772452
0.01	0.0001	6	0.65	2399999.6	944313.525221279
0.01	0.0001	6	0.7	1160473.2	318302.287266931
0.01	0.0001	6	0.75	1049568.6	482567.680671468
0.01	0.0001	6	0.8	1324884.8	388026.201950023
0.01	0.0001	6	0.85	1740685.6	734291.975879513
0.01	0.0001	6	0.9	1582222.6	672618.745921819
0.01	0.0001	6	0.95	1749508.8	531890.633062625
0.01	0.0001	6	1	821157	443300.570446734
0.01	0.0001	6	1.05	1218868	899767.184099976
0.01	0.0001	6	1.1	1144699.4	355512.745670025
0.01	0.0001	6	1.15	1235730	662372.965063641
0.01	0.0001	6	1.2	786505	326771.268097426
0.01	0.0001	6	1.25	810152	401901.020615773
0.01	0.0001	6	1.3	925612.8	652960.176404473
0.01	0.0001	6	1.35	1059975.6	695891.018041934
0.01	0.0001	6	1.4	1471899	601915.952161761
0.01	0.0001	6	1.45	1420479.4	782280.055033388
0.01	0.0001	6	1.5	607651	367255.511945566
0.01	0.0001	7	0.1	5000001	0
0.01	0.0001	7	0.15	5000001	0
0.01	0.0001	7	0.2	4703394.8	590687.645777157
0.01	0.0001	7	0.25	4174292.2	848319.283638277
0.01	0.0001	7	0.3	3188490.6	843576.350288129
0.01	0.0001	7	0.35	2853786.4	1507452.21187189
0.01	0.0001	7	0.4	2836674.8	950873.952519765
0.01	0.0001	7	0.45	2491780.8	812326.033578489
0.01	0.0001	7	0.5	1473722.2	120694.514162658
0.01	0.0001	7	0.55	1711728.4	348503.912037498
0.01	0.0001	7	0.6	1564414.4	509105.456853332
0.01	0.0001	7	0.65	1417768.6	545892.514621917
0.01	0.0001	7	0.7	1474910.6	570777.236654581
0.01	0.0001	7	0.75	1053884.4	555080.704050357
0.01	0.0001	7	0.8	1310838.4	198203.379668057
0.01	0.0001	7	0.85	979232.6	338233.536665186
0.01	0.0001	7	0.9	1685272.6	445043.043107787
0.01	0.0001	7	0.95	869228.4	459175.410642861
0.01	0.0001	7	1	1629479.4	618730.806248598
0.01	0.0001	7	1.05	1131396.4	232316.706091146
0.01	0.0001	7	1.1	1143183.6	488798.715889721
0.01	0.0001	7	1.15	996585	421242.733832644
0.01	0.0001	7	1.2	995364.6	235893.653512425
