s	r	d	f	mean	sd
0.01	0.0001	1	0.1	0.178243068204197	0.152736900386633
0.01	0.0001	1	0.15	0.176154268783188	0.1488704108928
0.01	0.0001	1	0.2	0.180491529048677	0.154434155293444
0.01	0.0001	1	0.25	0.260670261886965	0.186488057801738
0.01	0.0001	1	0.3	0.182109468768914	0.149840580711842
0.01	0.0001	1	0.35	0.137144756650622	0.0201278413835455
0.01	0.0001	1	0.4	0.111659333801079	0.0144747860778059
0.01	0.0001	1	0.45	0.218539869519489	0.141588357335832
0.01	0.0001	1	0.5	0.242353771207062	0.185803805888925
0.01	0.0001	1	0.55	0.285175987715528	0.1812319177154
0.01	0.0001	1	0.6	0.142303706464677	0.0278650619848543
0.01	0.0001	1	0.65	0.354083263776232	0.180849564941665
0.01	0.0001	1	0.7	0.299286749859884	0.165749660152784
0.01	0.0001	1	0.75	0.240265651527144	0.135989392495614
0.01	0.0001	1	0.8	0.26089938992346	0.120795080307759
0.01	0.0001	1	0.85	0.244902846645255	0.130034902289093
0.01	0.0001	1	0.9	0.193677972905136	0.00740236998735001
0.01	0.0001	1	0.95	0.193493956759744	0.0233614064417082
0.01	0.0001	1	1	0.191319212242269	0.00970439723578148
0.01	0.0001	1	1.05	0.187610113342435	0.0141480389786873
0.01	0.0001	1	1.1	0.177963474242648	0.0346255261239591
0.01	0.0001	1	1.15	0.197458412296198	0.011193855498809
0.01	0.0001	1	1.2	0.195788855073018	0.00616075906645368
0.01	0.0001	1	1.25	0.192543169862485	0.0172204839282413
0.01	0.0001	1	1.3	0.187731172198108	0.00293292474552208
0.01	0.0001	1	1.35	0.255212004422283	0.126235806392368
0.01	0.0001	1	1.4	0.186842429002694	0.00518751441919122
0.01	0.0001	1	1.45	0.183734440449929	0.00353186545786802
0.01	0.0001	1	1.5	0.189910694516745	0.00646344151354699
0.01	0.0001	2	0.1	0.331271223587203	0.184833095078143
0.01	0.0001	2	0.15	0.0961724226772136	0.0103990952745754
0.01	0.0001	2	0.2	0.185612928849934	0.152468203889279
0.01	0.0001	2	0.25	0.106440180135952	0.0211592267204644
0.01	0.0001	2	0.3	0.179475723723103	0.149313526003792
0.01	0.0001	2	0.35	0.147690148759614	0.0224582055255748
0.01	0.0001	2	0.4	0.234905065043769	0.117830737098715
0.01	0.0001	2	0.45	0.16662974182723	0.0353661093900861
0.01	0.0001	2	0.5	0.244133430207804	0.124868489421722
0.01	0.0001	2	0.55	0.241947965184866	0.130876062894806
0.01	0.0001	2	0.6	0.259408628775197	0.121250138286161
0.01	0.0001	2	0.65	0.307833751863915	0.155840677233592
0.01	0.0001	2	0.7	0.188460097591298	0.00802430105783038
0.01	0.0001	2	0.75	0.177349533051807	0.0148563046692315
0.01	0.0001	2	0.8	0.182229574329833	0.00993071516570876
0.01	0.0001	2	0.85	0.186088575904558	0.00990704945825527
0.01	0.0001	2	0.9	0.175709117722025	0.00738023498988057
0.01	0.0001	2	0.95	0.174024040577134	0.0204903904618775
0.01	0.0001	2	1	0.146379268215772	0.0103156652660602
