s	r	d	f	mean	sd
0.01	0.0001	1	0.1	1.01705859108682	0.0137485096678698
0.01	0.0001	1	0.15	1.09289440409119	0.0752255899849892
0.01	0.0001	1	0.2	1.10497730130286	0.0918473025921377
0.01	0.0001	1	0.25	1.24945076619998	0.177190448742001
0.01	0.0001	1	0.3	1.23178679747575	0.326821806076706
0.01	0.0001	1	0.35	1.85827666189722	0.317788314399908
0.01	0.0001	1	0.4	1.56637477059052	0.482087609094438
0.01	0.0001	1	0.45	2.16275710981761	0.706492837198268
0.01	0.0001	1	0.5	2.42678361883185	0.734464520403527
0.01	0.0001	1	0.55	3.0388088658215	0.941169860116347
0.01	0.0001	1	0.6	3.33295587967276	0.576243586579337
0.01	0.0001	1	0.65	4.10279171363482	0.463954883615467
0.01	0.0001	1	0.7	4.81667750682837	0.248689310867256
0.01	0.0001	1	0.75	4.99977030040185	1.24263578587454
0.01	0.0001	1	0.8	6.30748269096027	0.001752428729397
0.01	0.0001	1	0.85	6.75872926004564	0.615636341605355
0.01	0.0001	1	0.9	7.93808040545417	0.0047337474916021
0.01	0.0001	1	0.95	8.83441718928712	0.150294611366221
0.01	0.0001	1	1	9.9981244	0.00109691651459881
0.01	0.0001	1	1.05	11.2027150099268	0.0298907117942408
0.01	0.0001	1	1.1	10.6118281249363	3.95157803107883
0.01	0.0001	1	1.15	14.1227503711384	0.00320144024192667
0.01	0.0001	1	1.2	15.8465234278529	0.00265978153884512
0.01	0.0001	1	1.25	17.7799074598039	0.00124342270626666
0.01	0.0001	1	1.3	19.9494163658519	0.00289662557120207
0.01	0.0001	1	1.35	22.3820442354126	0.00359143692476035
0.01	0.0001	1	1.4	25.1140501897785	0.00245996336244502
0.01	0.0001	1	1.45	28.1807466664006	0.00255253696503271
0.01	0.0001	1	1.5	31.6201369183407	0.00177055799268782
0.01	0.0001	2	0.1	1.05291643471457	0.0379698164388299
0.01	0.0001	2	0.15	1.08190829703262	0.038522385613844
0.01	0.0001	2	0.2	1.13419386777033	0.121122789262119
0.01	0.0001	2	0.25	1.46023056915071	0.463203737879869
0.01	0.0001	2	0.3	1.27475258891786	0.152515106391294
0.01	0.0001	2	0.35	3.37195026112352	1.2832067071477
0.01	0.0001	2	0.4	5.27538986022474	2.0067905052439
0.01	0.0001	2	0.45	5.53550366690419	2.80386267828835
0.01	0.0001	2	0.5	9.92652842420112	0.0560435425170083
0.01	0.0001	2	0.55	12.1061093085206	0.865971630251048
0.01	0.0001	2	0.6	15.8223950184927	0.0264189297592049
0.01	0.0001	2	0.65	19.924103000765	0.0129566245386057
0.01	0.0001	2	0.7	25.0805591742235	0.0267743121467497
0.01	0.0001	2	0.75	31.5786528310818	0.0375704712163101
0.01	0.0001	2	0.8	39.7689382032123	0.0284653048337051
0.01	0.0001	2	0.85	50.0840947167334	0.0235263046818499
0.01	0.0001	2	0.9	63.05873924838	0.0256419694912071
0.01	0.0001	2	0.95	79.391386389259	0.0230776886109808
0.01	0.0001	2	1	99.947224	0.0386672231896718
0.01	0.0001	2	1.05	125.87042246648	0.017443313679363
0.01	0.0001	2	1.1	158.460759874714	0.0183339435774244
0.01	0.0001	2	1.15	199.493749611798	0.0192816319025987
0.01	0.0001	2	1.2	251.141665584784	0.0320359705741676
0.01	0.0001	2	1.25	316.181236926131	0.0259614145891061
0.01	0.0001	2	1.3	398.043368948121	0.0286773671759966
0.01	0.0001	2	1.35	501.107906682345	0.0629630540664949
0.01	0.0001	2	1.4	630.887615506297	0.032532901848323
0.01	0.0001	2	1.45	794.0693354015	0.262771403585573
0.01	0.0001	2	1.5	999.870012238484	0.0250367463304076
0.01	0.0001	3	0.1	1.08322797838047	0.0498738275330222
0.01	0.0001	3	0.15	1.18324620192758	0.0848070419390423
0.01	0.0001	3	0.2	1.393343874655	0.211137629490242
0.01	0.0001	3	0.25	2.80287169272241	1.41570683913355
0.01	0.0001	3	0.3	3.70558025171621	2.66545192800328
0.01	0.0001	3	0.35	9.37892350213151	2.85934818937185
0.01	0.0001	3	0.4	15.6663129796145	0.117251989547484
0.01	0.0001	3	0.45	18.3652837959251	7.74044745233973
0.01	0.0001	3	0.5	31.4764906489167	0.0642310391488252
0.01	0.0001	3	0.55	44.4193361894717	0.0892213084514833
0.01	0.0001	3	0.6	62.9573971994046	0.0743026703093617
0.01	0.0001	3	0.65	88.9743489017551	0.0955918311242386
0.01	0.0001	3	0.7	125.854052467019	0.0194894170828186
0.01	0.0001	3	0.75	177.772246178095	0.0246857470817675
0.01	0.0001	3	0.8	251.145809814628	0.0198686376254997
0.01	0.0001	3	0.85	354.769170868987	0.0198111750474515
0.01	0.0001	3	0.9	501.017661269725	0.0940417948308526
0.01	0.0001	3	0.95	707.829427196992	0.053173243274252
0.01	0.0001	3	1	999.7090444	0.240124257798844
0.01	0.0001	3	1.05	1409.27444081721	2.22801138414745
0.01	0.0001	3	1.1	1985.5528298619	7.56186388036717
0.01	0.0001	3	1.15	2805.48118415113	9.47600421851192
0.01	0.0001	3	1.2	3941.45049698652	45.8318402333374
0.01	0.0001	3	1.25	5589.50217834445	40.2159690566619
0.01	0.0001	3	1.3	7830.06957074308	55.2790730569952
0.01	0.0001	3	1.35	11032.5857439958	213.857349638994
0.01	0.0001	3	1.4	15483.6080315385	95.1311938902727
0.01	0.0001	3	1.45	20923.3958882905	1761.5723853073
0.01	0.0001	3	1.5	30805.2575289235	635.001644788879
0.01	0.0001	4	0.1	1.15022875518088	0.0935769029287027
0.01	0.0001	4	0.15	1.66394752130202	0.470654407303986
0.01	0.0001	4	0.2	1.96556698084165	1.00372116494156
0.01	0.0001	4	0.25	4.45140990702098	2.87082527061936
0.01	0.0001	4	0.3	10.8444661323316	4.702428363827
0.01	0.0001	4	0.35	21.4975902313584	6.78938233140897
0.01	0.0001	4	0.4	39.1365266355232	0.331365630121297
0.01	0.0001	4	0.45	62.4159618457471	0.509697781014711
0.01	0.0001	4	0.5	99.7526251258803	0.214043127656237
0.01	0.0001	4	0.55	158.425250485779	0.0293411930654888
0.01	0.0001	4	0.6	251.012184249848	0.109800326248518
0.01	0.0001	4	0.65	398.008647017142	0.0553099138542774
0.01	0.0001	4	0.7	629.457201483646	0.980950820697702
0.01	0.0001	4	0.75	990.722555392613	7.33181604471788
0.01	0.0001	4	0.8	1552.64291047586	21.243674650056
0.01	0.0001	4	0.85	2460.7990686638	49.0964828043759
0.01	0.0001	4	0.9	3903.02599095994	68.4143587692814
0.01	0.0001	4	0.95	6052.09435683465	114.19784596765
0.01	0.0001	4	1	9479.1254752	508.713962443208
0.01	0.0001	4	1.05	13923.2707228657	1212.26363661053
0.01	0.0001	4	1.1	20375.1981505942	2832.13027393417
0.01	0.0001	4	1.15	18781.5473855226	14207.5359160299
0.01	0.0001	4	1.2	10732.9367227142	5558.1433116665
0.01	0.0001	4	1.25	6972.44973157383	1619.84722997203
0.01	0.0001	4	1.3	8550.68471001847	397.189103576788
0.01	0.0001	4	1.35	11486.0348753177	211.098305388727
0.01	0.0001	4	1.4	15979.4489554065	185.437571695867
0.01	0.0001	4	1.45	22800.3952663045	463.24337590837
0.01	0.0001	4	1.5	40772.5209238045	15839.2961024093
0.01	0.0001	5	0.1	1.18199656304533	0.154320625462506
0.01	0.0001	5	0.15	1.3506868044911	0.218057276547522
0.01	0.0001	5	0.2	1.78130593071911	0.349003837728464
0.01	0.0001	5	0.25	13.040891714513	5.03467557994565
0.01	0.0001	5	0.3	29.9900058555081	1.29315061538499
0.01	0.0001	5	0.35	55.1659832048307	0.468934718222913
0.01	0.0001	5	0.4	99.391743622689	0.504524231479379
0.01	0.0001	5	0.45	177.655802834993	0.0610773148766136
0.01	0.0001	5	0.5	316.070874918614	0.0457036898203621
0.01	0.0001	5	0.55	555.781935293315	4.55979692956965
0.01	0.0001	5	0.6	975.008555944696	22.0594096619369
0.01	0.0001	5	0.65	1617.76959879927	66.8566452250945
0.01	0.0001	5	0.7	2916.09521138366	212.237755013473
0.01	0.0001	5	0.75	5279.86638264663	155.241993392411
0.01	0.0001	5	0.8	9211.07053401358	480.628178730383
0.01	0.0001	5	0.85	8785.14935611961	3060.9483464426
0.01	0.0001	5	0.9	11327.2006421223	8051.10005244148
0.01	0.0001	5	0.95	6445.87523338604	198.086432952725
0.01	0.0001	5	1	10028.4722272	37.6550620721518
0.01	0.0001	5	1.05	15137.765316552	840.374128187074
0.01	0.0001	5	1.1	22588.2487241164	1266.33204755274
0.01	0.0001	5	1.15	23725.785070672	8065.08900809901
0.01	0.0001	5	1.2	15596.8782246681	5201.72478674078
0.01	0.0001	5	1.25	36094.4972790468	36651.2241793803
0.01	0.0001	5	1.3	8359.59303844474	146.487852009743
0.01	0.0001	5	1.35	12135.8000319086	300.243084008116
0.01	0.0001	5	1.4	17061.5592494673	614.428867041631
0.01	0.0001	5	1.45	23600.4336672261	473.599512504951
0.01	0.0001	5	1.5	33260.277389966	816.637831466122
0.01	0.0001	6	0.1	1.180327178123	0.0922095815566211
0.01	0.0001	6	0.15	2.0441798307837	0.856220548011733
0.01	0.0001	6	0.2	4.32305314732846	3.92447843397487
0.01	0.0001	6	0.25	23.5527702102905	9.5645328491092
0.01	0.0001	6	0.3	61.3124538352525	1.19666421768309
0.01	0.0001	6	0.35	125.676089372802	0.105955012484222
0.01	0.0001	6	0.4	250.92722027861	0.117697483117786
0.01	0.0001	6	0.45	494.969114100099	2.57298856966322
0.01	0.0001	6	0.5	923.785456891052	46.0486366453788
0.01	0.0001	6	0.55	1579.10400044445	291.747838627346
0.01	0.0001	6	0.6	2708.2796122087	412.225714216585
0.01	0.0001	6	0.65	6487.09530151532	446.325725021869
0.01	0.0001	6	0.7	9098.88425874604	3835.31995223866
0.01	0.0001	6	0.75	5444.51756308902	456.899359180442
0.01	0.0001	6	0.8	9720.93375934758	151.988678306176
0.01	0.0001	6	0.85	12733.9907172234	1995.40979278276
0.01	0.0001	6	0.9	11130.7444550157	4899.37864858711
0.01	0.0001	6	0.95	8941.48599134788	3289.5507648835
0.01	0.0001	6	1	10125.3095866	105.316670963348
0.01	0.0001	6	1.05	15857.211742245	344.958606001586
0.01	0.0001	6	1.1	23947.0751972435	1258.13622890066
0.01	0.0001	6	1.15	36611.6965970199	4061.25277572939
0.01	0.0001	6	1.2	29147.6734685936	14098.7846058474
0.01	0.0001	6	1.25	9663.92610851147	1856.25543480338
0.01	0.0001	6	1.3	9278.62334284636	863.019499019684
0.01	0.0001	6	1.35	11955.2041619851	141.320737649782
0.01	0.0001	6	1.4	17163.8375425641	595.24215514358
0.01	0.0001	6	1.45	26661.098534382	1931.15996061982
0.01	0.0001	6	1.5	34806.7866987225	1019.99456697067
0.01	0.0001	7	0.1	1.17966412061181	0.059734936113127
0.01	0.0001	7	0.15	2.79765519743813	2.02569550719818
0.01	0.0001	7	0.2	10.6956492721969	10.5421943772482
0.01	0.0001	7	0.25	42.8379033972796	20.3356100571211
0.01	0.0001	7	0.3	125.674018342725	0.128336978069583
0.01	0.0001	7	0.35	279.774099163647	0.643067109323508
0.01	0.0001	7	0.4	540.831265620332	66.3162093032877
0.01	0.0001	7	0.45	990.595867341123	122.063723338691
0.01	0.0001	7	0.5	2029.35976977439	483.999026494829
0.01	0.0001	7	0.55	5525.79700644383	1065.44533727744
